"variable","type","n_total","n_missing","mean","sd","min","q25","median","q75","max","unique","mode"
"financial_ind","haven_labelled",264,0,3.18939393939394,0.846667147508603,1,3,3,4,4,4,"3"
"support_others","haven_labelled",264,0,1.21969696969697,0.441469959695987,1,1,1,1,3,3,"1"
"spirtual","haven_labelled",264,0,2.73863636363636,0.924869550129265,1,2,3,3,4,4,"3"
"religious","haven_labelled",264,0,2.54545454545455,1.05270707608532,1,2,3,3,4,4,"3"
"organized_religion","haven_labelled",264,0,2.47727272727273,2.10003045095036,1,1,2,2,8,8,"2"
"highesteducation","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"Primary school"
"highest_ed_recoded","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"1"
"highest_ed_recoded_currentcoded","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"1"
"current_student","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"current_ed","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"employed","haven_labelled",264,0,1.39393939393939,0.489549738926783,1,1,1,2,2,2,"1"
"hours_employed_1","numeric",160,104,22.421875,10.8774689057518,0,15,20,30,70,37,"20"
"industry","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_1","haven_labelled",163,101,1,0,1,1,1,1,1,1,"1"
"major_2","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_3","haven_labelled",11,253,1,0,1,1,1,1,1,1,"1"
"major_4","haven_labelled",9,255,1,0,1,1,1,1,1,1,"1"
"major_5","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_6","haven_labelled",8,256,1,0,1,1,1,1,1,1,"1"
"major_7","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_8","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_9","haven_labelled",2,262,1,0,1,1,1,1,1,1,"1"
"major_10","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_11","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_12","haven_labelled",5,259,1,0,1,1,1,1,1,1,"1"
"major_13","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_14","haven_labelled",2,262,1,0,1,1,1,1,1,1,"1"
"major_15","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"major_16","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"major_17","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"major_18","haven_labelled",2,262,1,0,1,1,1,1,1,1,"1"
"major_19","haven_labelled",2,262,1,0,1,1,1,1,1,1,"1"
"major_20","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"major_21","haven_labelled",2,262,1,0,1,1,1,1,1,1,"1"
"major_22","haven_labelled",12,252,1,0,1,1,1,1,1,1,"1"
"major_23","haven_labelled",51,213,1,0,1,1,1,1,1,1,"1"
"gpa","haven_labelled",263,1,4.62357414448669,2.10935198643747,1,3,4,6,9,9,"3"
"household_income","haven_labelled",157,107,3.78343949044586,1.92925676979896,1,2,4,6,7,7,"6"
"mother_ed","haven_labelled",264,0,3.34848484848485,1.5402574891392,1,2,3,4,7,7,"2"
"father_ed","haven_labelled",264,0,3.90151515151515,2.22621726769053,1,2,3,5,8,8,"2"
"research_type_1","haven_labelled",264,0,0.962121212121212,0.19126566757775,0,1,1,1,1,2,"1"
"research_type_2","haven_labelled",264,0,0.174242424242424,0.380038263457036,0,0,0,0,1,2,"0"
"research_type_3","haven_labelled",264,0,0.363636363636364,0.48195936077715,0,0,0,1,1,2,"0"
"research_type_4","haven_labelled",264,0,0.257575757575758,0.438129659805982,0,0,0,1,1,2,"0"
"research_type_5","haven_labelled",264,0,0.333333333333333,0.472299876812937,0,0,0,1,1,2,"0"
"research_type_6","haven_labelled",264,0,0.409090909090909,0.492599922573403,0,0,0,1,1,2,"0"
"research_type_7","haven_labelled",264,0,0.348484848484849,0.477395476344506,0,0,0,1,1,2,"0"
"research_type_8","haven_labelled",264,0,0.200757575757576,0.401327874287386,0,0,0,0,1,2,"0"
"research_type_9","haven_labelled",264,0,0.371212121212121,0.484046678299386,0,0,0,1,1,2,"0"
"research_type_10","haven_labelled",264,0,0.215909090909091,0.412233007582623,0,0,0,0,1,2,"0"
"research_type_9updated","numeric",264,0,0.431818181818182,0.496270222879465,0,0,0,1,1,2,"0"
"research_type_10updated","numeric",264,0,0.246212121212121,0.431621807247156,0,0,0,0,1,2,"0"
"research_type_11","haven_labelled",264,0,0.162878787878788,0.369956384857221,0,0,0,0,1,2,"0"
"research_type_12","haven_labelled",264,0,0.318181818181818,0.466655144459668,0,0,0,1,1,2,"0"
"research_type_13","haven_labelled",264,0,0.348484848484849,0.477395476344506,0,0,0,1,1,2,"0"
"comp_importance","haven_labelled",264,0,2.64015151515152,1.1450246048785,1,2,3,3,5,5,"2"
"comp_type_1","haven_labelled",263,1,1.6425855513308,1.03452434367348,1,1,1,2,5,5,"1"
"comp_type_2","haven_labelled",263,1,2.85171102661597,0.986969937046552,1,2,3,4,5,5,"2"
"comp_type_3","haven_labelled",263,1,4.11787072243346,1.06532080894518,1,4,4,5,5,5,"5"
"comp_type_4","haven_labelled",263,1,2.55893536121673,1.25222931267842,1,1,2,4,5,5,"2"
"comp_type_5","haven_labelled",263,1,3.82889733840304,1.1312702787658,1,3,4,5,5,5,"5"
"select_reasonsaliva","haven_labelled",166,98,2.75301204819277,2.33662991452,1,1,2,3,9,7,"2"
"select_reasonsaliva_9_text","character",264,0,NA,NA,NA,NA,NA,NA,NA,4,""
"select_reasonblood","haven_labelled",207,57,2.76328502415459,2.30386016947704,1,1,2,3,9,7,"1"
"select_reasonblood_9_text","character",264,0,NA,NA,NA,NA,NA,NA,NA,14,""
"more_info","haven_labelled",216,48,2.62962962962963,0.905719219211028,1,2,3,3,4,4,"3"
"more_info_updated","haven_labelled",162,102,2.43827160493827,0.905067569109926,1,2,3,3,4,4,"3"
"more_compensation","haven_labelled",214,50,2.67289719626168,1.03257462015551,1,2,3,3,4,4,"3"
"more_compensation_updated","haven_labelled",209,55,2.66507177033493,1.02973816669076,1,2,3,3,4,4,"3"
"hormone_reasoning","haven_labelled",181,83,1.70718232044199,0.892812855167511,1,1,1,2,4,4,"1"
"hormone_reasoning_updated","haven_labelled",181,83,1.70718232044199,0.892812855167511,1,1,1,2,4,4,"1"
"no_blood_sample","haven_labelled",200,64,2.28,1.30001932726259,1,1,2,3,5,5,"1"
"no_blood_sample_updated","haven_labelled",264,0,2690.49621212121,4440.62061568618,1,1,3,9998,9998,6,"1"
"trust","haven_labelled",264,0,2.51893939393939,0.7448308635686,1,2,2,3,4,4,"2"
"mental_origins","haven_labelled",264,0,3.29545454545455,0.737260744085927,1,3,3,4,5,5,"3"
"medical_origins","haven_labelled",264,0,3.93181818181818,1.10782341881399,1,3,4,4,6,5,"4"
"concern_mental","haven_labelled",264,0,2.84848484848485,0.986485473346248,1,2,3,4,6,5,"3"
"concern_medical","haven_labelled",264,0,3.03030303030303,0.982271705028852,1,2,3,4,6,5,"4"
"disorder_importance","haven_labelled",264,0,2.02272727272727,0.955002112878909,1,1,2,3,4,4,"1"
"feedback_mental","haven_labelled",264,0,2.38257575757576,1.16729815181365,1,1,2,4,4,4,"1"
"feedback_medical","haven_labelled",264,0,2.30681818181818,1.05395818719367,1,1,2,3,4,4,"1"
"genetic_knowledge","haven_labelled",264,0,2.15530303030303,0.726030343659779,1,2,2,3,4,4,"2"
"a23and_me","haven_labelled",264,0,3.01893939393939,1.12845212305688,1,2,3,4,5,5,"3"
"medical_condition_1_1","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"medical_condition_1_2","haven_labelled",33,231,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_3","haven_labelled",143,121,1,0,1,1,1,1,1,1,"1"
"medical_condition_1_4","haven_labelled",102,162,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_1","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"medical_condition_2_2","haven_labelled",20,244,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_3","haven_labelled",106,158,1,0,1,1,1,1,1,1,"1"
"medical_condition_2_4","haven_labelled",140,124,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_1","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"medical_condition_3_2","haven_labelled",48,216,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_3","haven_labelled",144,120,1,0,1,1,1,1,1,1,"1"
"medical_condition_3_4","haven_labelled",86,178,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_1","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"medical_condition_4_2","haven_labelled",1,263,1,NA,1,1,1,1,1,1,"1"
"medical_condition_4_3","haven_labelled",71,193,1,0,1,1,1,1,1,1,"1"
"medical_condition_4_4","haven_labelled",189,75,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_1","haven_labelled",87,177,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_2","haven_labelled",95,169,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_3","haven_labelled",70,194,1,0,1,1,1,1,1,1,"1"
"medical_condition_5_4","haven_labelled",92,172,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_1","haven_labelled",10,254,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_2","haven_labelled",38,226,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_3","haven_labelled",50,214,1,0,1,1,1,1,1,1,"1"
"medical_condition_6_4","haven_labelled",182,82,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_1","haven_labelled",129,135,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_2","haven_labelled",106,158,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_3","haven_labelled",64,200,1,0,1,1,1,1,1,1,"1"
"medical_condition_7_4","haven_labelled",71,193,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_1","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"medical_condition_8_2","haven_labelled",4,260,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_3","haven_labelled",20,244,1,0,1,1,1,1,1,1,"1"
"medical_condition_8_4","haven_labelled",238,26,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_1","haven_labelled",8,256,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_2","haven_labelled",46,218,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_3","haven_labelled",84,180,1,0,1,1,1,1,1,1,"1"
"medical_condition_9_4","haven_labelled",152,112,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_1","haven_labelled",47,217,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_2","haven_labelled",23,241,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_3","haven_labelled",21,243,1,0,1,1,1,1,1,1,"1"
"medical_condition_10_4","haven_labelled",190,74,1,0,1,1,1,1,1,1,"1"
"q1_1","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"pswq_1","haven_labelled",264,0,2.27272727272727,1.11396874911562,1,1,2,3,5,5,"2"
"pswq_2","haven_labelled",264,0,3.63257575757576,1.2136107839515,1,3,4,5,5,5,"5"
"pswq_3","haven_labelled",264,0,2.04545454545455,1.09171533750981,1,1,2,3,5,5,"2"
"pswq_4","haven_labelled",264,0,3.46212121212121,1.21714809113191,1,3,4,5,5,5,"3"
"pswq_5","haven_labelled",264,0,3.57575757575758,1.25538361350332,1,3,4,5,5,5,"5"
"pswq_6","haven_labelled",264,0,3.67045454545455,1.16398676618009,1,3,4,5,5,5,"4"
"pswq_7","haven_labelled",264,0,3.3030303030303,1.31928886212983,1,2,3,4,5,5,"3"
"pswq_8","haven_labelled",264,0,2.37878787878788,1.113554941988,1,2,2,3,5,5,"2"
"pswq_9","haven_labelled",264,0,3.22727272727273,1.23689116660951,1,2,3,4,5,5,"3"
"pswq_10","haven_labelled",264,0,1.60984848484848,0.920436319785875,1,1,1,2,5,5,"1"
"pswq_11","haven_labelled",264,0,2.5530303030303,1.21657997187837,1,2,2,3,5,5,"3"
"pswq_12","haven_labelled",263,1,3.15969581749049,1.38598874187925,1,2,3,4,5,5,"3"
"pswq_13","haven_labelled",264,0,3.57954545454545,1.18983263266037,1,3,4,5,5,5,"4"
"pswq_14","haven_labelled",263,1,3.19011406844106,1.34291226285166,1,2,3,4,5,5,"3"
"pswq_15","haven_labelled",264,0,2.9469696969697,1.37226406098485,1,2,3,4,5,5,"2"
"pswq_16","haven_labelled",264,0,3.60984848484848,1.24981275242309,1,3,4,5,5,5,"5"
"pswq_1r","numeric",264,0,3.72727272727273,1.11396874911562,1,3,4,5,5,5,"4"
"pswq_3r","numeric",264,0,3.95454545454545,1.09171533750981,1,3,4,5,5,5,"4"
"pswq_8r","numeric",264,0,3.62121212121212,1.113554941988,1,3,4,4,5,5,"4"
"pswq_10r","numeric",264,0,4.39015151515152,0.920436319785875,1,4,5,5,5,5,"5"
"pswq_11r","numeric",264,0,3.4469696969697,1.21657997187837,1,3,4,4,5,5,"3"
"miss_items_pswq","numeric",264,0,0.00757575757575758,0.123091490979333,0,0,0,0,2,2,"0"
"pswq_final","numeric",263,1,56.5361216730038,13.7726090101684,19,46,57,68,80,54,"48"
"q2","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"hai1","haven_labelled",264,0,1.65909090909091,0.834881612741272,0,1,2,2,3,4,"1"
"hai2","haven_labelled",264,0,1.21590909090909,0.911884318713465,0,1,1,2,3,4,"1"
"hai3","haven_labelled",264,0,1.92045454545455,0.84845990079038,0,1,2,3,3,4,"2"
"hai4","haven_labelled",264,0,1.10606060606061,0.762800281906868,0,1,1,1.25,3,4,"1"
"hai5","haven_labelled",264,0,1.33333333333333,0.995554122154801,0,1,1,2,3,4,"1"
"hai6","haven_labelled",264,0,0.492424242424242,0.697591861252234,0,0,0,1,3,4,"0"
"hai7","haven_labelled",264,0,0.689393939393939,0.786120819646064,0,0,1,1,3,4,"0"
"hai8","haven_labelled",264,0,0.625,0.779672837695597,0,0,0,1,3,4,"0"
"hai9","haven_labelled",264,0,0.553030303030303,0.626589464077304,0,0,0,1,3,4,"0"
"hai10","haven_labelled",264,0,1.125,0.932870381290441,0,0,1,2,3,4,"1"
"hai11","haven_labelled",264,0,1.04545454545455,0.892415326962032,0,0,1,2,3,4,"1"
"hai12","haven_labelled",264,0,0.454545454545455,0.733382562321264,0,0,0,1,3,4,"0"
"hai13","haven_labelled",264,0,0.833333333333333,0.796061279971721,0,0,1,1,3,4,"1"
"hai14","haven_labelled",264,0,1,0.628838025533932,0,1,1,1,3,4,"1"
"hai15","haven_labelled",264,0,1.16666666666667,0.761893445507124,0,1,1,2,3,4,"1"
"hai16","haven_labelled",264,0,1.03030303030303,0.713150712151178,0,1,1,1,3,4,"1"
"hai17","haven_labelled",264,0,0.859848484848485,0.858450265935743,0,0,1,1,3,4,"1"
"hai18","haven_labelled",264,0,1.02272727272727,0.849655793343467,0,0,1,2,3,4,"1"
"miss_items_hai","numeric",264,0,0,0,0,0,0,0,0,1,"0"
"hai_final","numeric",264,0,18.1325757575758,8.03375953085243,0,12,17,24,43,38,"13"
"q1","haven_labelled",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"altruism_1","haven_labelled",264,0,2.56818181818182,1.22206072806969,0,2,3,4,4,5,"3"
"altruism_2","haven_labelled",264,0,1.29166666666667,1.17408918936684,0,0,1,2,4,5,"0"
"altruism_3","haven_labelled",264,0,2.33333333333333,1.03304096603951,0,2,2,3,4,5,"2"
"altruism_4","haven_labelled",264,0,2.79924242424242,1.03247616362776,0,2,3,4,4,5,"4"
"altruism_5","haven_labelled",264,0,2.41287878787879,1.13364752021105,0,2,2,3,4,5,"3"
"altruism_6","haven_labelled",264,0,3.01515151515152,1.06435398557701,0,2,3,4,4,5,"4"
"altruism_7","haven_labelled",264,0,2.10606060606061,1.19095179214689,0,1,2,3,4,5,"2"
"altruism_8","haven_labelled",264,0,1.6780303030303,1.32486110292514,0,0,2,3,4,5,"2"
"altruism_9","haven_labelled",264,0,1.22348484848485,1.17291096381913,0,0,1,2,4,5,"0"
"altruism_10","haven_labelled",264,0,2.70454545454545,1.06972606822677,0,2,3,4,4,5,"3"
"altruism_11","haven_labelled",264,0,2.04924242424242,1.27622281402781,0,1,2,3,4,5,"2"
"altruism_12","haven_labelled",264,0,2.93560606060606,1.11659671522436,0,2,3,4,4,5,"4"
"altruism_13","haven_labelled",264,0,2.25378787878788,1.21773368650923,0,1,2,3,4,5,"2"
"altruism_14","haven_labelled",264,0,2.26136363636364,1.2223612210465,0,1,2,3,4,5,"2"
"miss_items_altrusim","numeric",264,0,0,0,0,0,0,0,0,1,"0"
"altruism_final","numeric",264,0,31.6325757575758,9.55499587608271,9,25,31,38,56,44,"33"
"submissionid","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"statusv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"customstudytncsacceptedatv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"startedatv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"completedatv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"reviewedatv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"archivedatv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"timetakenv_p","numeric",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"completioncodev_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"totalapprovalsv_p","numeric",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"ethnicityv_p","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"East Asian"
"ethnicityv_p_cat","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"African"
"agev_p","numeric",0,264,NA,NA,Inf,NA,NA,NA,-Inf,0,NA
"sexv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"ethnicitysimplifiedv_p","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"Asian"
"ethnicitysimplifiedv_p_cat","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"Black"
"countryofbirthv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"countryofresidencev_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"nationalityv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"languagev_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"studentstatusv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"employmentstatusv_p","character",0,264,NA,NA,NA,NA,NA,NA,NA,1,NA
"sample","factor",264,0,NA,NA,NA,NA,NA,NA,NA,1,"SONA"
"duration_minutes","numeric",264,0,283.251262626263,1025.51025046929,4.15,14.075,18.8666666666667,33.5583333333333,7135.6,245,"12.6333333333333"
"attention_check2_sona","haven_labelled",264,0,3,0,3,3,3,3,3,1,"3"
"attention_check3_sona","haven_labelled",264,0,1,0,1,1,1,1,1,1,"1"
"age_factor","character",264,0,NA,NA,NA,NA,NA,NA,NA,12,"18"
"college_year","haven_labelled",264,0,2.02272727272727,1.0054294362075,1,1,2,3,4,4,"1"
"organized_religion_collapse","factor",264,0,NA,NA,NA,NA,NA,NA,NA,3,"Christianity"
"race_NHtoAsian","factor",224,40,NA,NA,NA,NA,NA,NA,NA,6,"White"
"health_self_total","numeric",264,0,1.07575757575758,1.19645364516869,0,0,1,2,5,6,"0"
"health_self_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"health_firstdegree_total","numeric",264,0,1.56818181818182,1.57302924837592,0,0,1,2,9,8,"0"
"health_firstdegree_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"health_2nddegree_total","numeric",264,0,2.9280303030303,2.09074783840449,0,1,3,4,9,10,"2"
"health_2nddegree_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"health_relative_total","numeric",264,0,4.49621212121212,2.86050609213168,0,2,4,6,14,14,"5"
"health_relative_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"mhealth_self_total","numeric",264,0,1.06439393939394,1.17305830673064,0,0,1,2,4,5,"0"
"mhealth_self_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"mhealth_firstdegree_total","numeric",264,0,1.18181818181818,1.30991063938204,0,0,1,2,5,6,"0"
"mhealth_firstdegree_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"mhealth_2nddegree_total","numeric",264,0,1.17045454545455,1.32155218316606,0,0,1,2,5,6,"0"
"mhealth_2nddegree_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"mhealth_relative_total","numeric",264,0,2.35227272727273,2.04161890244666,0,1,2,4,9,10,"2"
"mhealth_relative_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"phealth_self_total","numeric",264,0,0.0113636363636364,0.106194260099034,0,0,0,0,1,2,"0"
"phealth_self_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"FALSE"
"phealth_firstdegree_total","numeric",264,0,0.386363636363636,0.654295281914072,0,0,0,1,4,5,"0"
"phealth_firstdegree_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"FALSE"
"phealth_2nddegree_total","numeric",264,0,1.75757575757576,1.25235117052487,0,1,2,3,4,5,"2"
"phealth_2nddegree_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"phealth_relative_total","numeric",264,0,2.14393939393939,1.35170685370985,0,1,2,3,6,7,"3"
"phealth_relative_any","factor",264,0,NA,NA,NA,NA,NA,NA,NA,2,"TRUE"
"education_levels","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"Completed 4 year college"
"education_levels_noanswer","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"Completed 4 year college"
"highesteducation_mths","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"0"
"gender_collapsed","factor",264,0,NA,NA,NA,NA,NA,NA,NA,3,"Female"
"organized_religion_collapseChristianity","factor",264,0,NA,NA,NA,NA,NA,NA,NA,3,"Christianity"
"ethnicityv_p_refw","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"White/Caucasian"
"highest_ed_recoded_factor","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"Less than 4 years of college"
"highest_ed_recoded_factor_ref4y","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"4 years of college"
"highest_ed_recoded_currentcoded_factor","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"Less than 4 years of college"
"highest_ed_recoded_currentcoded_factor_ref4y","factor",0,264,NA,NA,NA,NA,NA,NA,NA,1,"4 years of college"
